139,Schritte der Trainingssteuerung. Was ist hier die richtige Reihenfolge?,"Analyse, Zielsetzung, Trainingsplanung, Durchführung, Diagnose/Anamnese",0
139,Schritte der Trainingssteuerung. Was ist hier die richtige Reihenfolge?,"Diagnose/Anamnese, Zielsetzung, Trainingsplanung, Durchführung, Analyse",1
139,Schritte der Trainingssteuerung. Was ist hier die richtige Reihenfolge?,"Diagnose/Anamnese, Trainingsplanung, Zielsetzung, Durchführung, Analyse",0
140,Was sollte der Trainer im Eingangsgespräch mit dem Kunden in Erfahrung bringen?,Bestehen aktuelle Beschwerden oder eine Vorerkrankung?,1
140,Was sollte der Trainer im Eingangsgespräch mit dem Kunden in Erfahrung bringen?,Erfolgt eine (regelmäßige) Medikamenteneinnahme?,1
140,Was sollte der Trainer im Eingangsgespräch mit dem Kunden in Erfahrung bringen?,Wird beruflich eine körperlich anstrengende Tätigkeit ausgeübt?,1
140,Was sollte der Trainer im Eingangsgespräch mit dem Kunden in Erfahrung bringen?,Was sind die persönlichen Trainingsziele?,1
140,Was sollte der Trainer im Eingangsgespräch mit dem Kunden in Erfahrung bringen?,Werden sonstige sportliche Tätigkeiten ausgeübt?,1
141,Welche biometrischen Daten können im Rahmen des Eingangsgesprächs aufgenommen werden?,Körpergewicht,1
141,Welche biometrischen Daten können im Rahmen des Eingangsgesprächs aufgenommen werden?,Körpergröße,1
141,Welche biometrischen Daten können im Rahmen des Eingangsgesprächs aufgenommen werden?,Taille-Hüft-Umfang,1
141,Welche biometrischen Daten können im Rahmen des Eingangsgesprächs aufgenommen werden?,Ruheherzfrequenz,1
141,Welche biometrischen Daten können im Rahmen des Eingangsgesprächs aufgenommen werden?,Blutdruck,1
142,Was sind bekannte motorische Tests?,Ausdauertest,1
142,Was sind bekannte motorische Tests?,Beweglichkeitstest ,1
142,Was sind bekannte motorische Tests?,Koordinationstest,1
142,Was sind bekannte motorische Tests?,Krafttest,1
142,Was sind bekannte motorische Tests?,Stresstest,0
143,Welche Faktoren sind bei der individuellen Trainingsplanung zu beachten?,das Zeitmanagement,1
