87,Welche Komponenten beeinflussen die sportliche Leistungsfähigkeit?,konditionelle und koordinative,1
87,Welche Komponenten beeinflussen die sportliche Leistungsfähigkeit?,technisch-taktische,1
87,Welche Komponenten beeinflussen die sportliche Leistungsfähigkeit?,gesundheitliche,1
87,Welche Komponenten beeinflussen die sportliche Leistungsfähigkeit?,psychische ,1
87,Welche Komponenten beeinflussen die sportliche Leistungsfähigkeit?,intellektuelle,1
88,Motorische Fähigkeiten gliedern sich in …  ,Konditionelle ,1
88,Motorische Fähigkeiten gliedern sich in …  ,Koordinative,1
88,Motorische Fähigkeiten gliedern sich in …  ,Sensible,0
89,Was sind motorische Lernfähigkeiten?,Umstellungsfähigkeit,1
89,Was sind motorische Lernfähigkeiten?,Reaktionsfähigkeit ,1
89,Was sind motorische Lernfähigkeiten?,Kopplungsfähigkeit,1
89,Was sind motorische Lernfähigkeiten?,Gleichgewichtsfähigkeit,1
89,Was sind motorische Lernfähigkeiten?,Orientierungsfähigkeit,1
90,Bitte den Satz vervollständigen: Superkompensation bezeichnet das Prinzip … ,… der ansteigenden Belastung. ,0
90,Bitte den Satz vervollständigen: Superkompensation bezeichnet das Prinzip … ,… des trainingswirksamen Reizes. ,0
90,Bitte den Satz vervollständigen: Superkompensation bezeichnet das Prinzip … ,… der optimalen Relation von Belastung und Erholung.,1
91,Bitte den Satz vervollständigen: Die Dauer der Regeneration ist abhängig von …,… der Größe der beanspruchten Muskulatur.,1
91,Bitte den Satz vervollständigen: Die Dauer der Regeneration ist abhängig von …,… des Alters.,1
91,Bitte den Satz vervollständigen: Die Dauer der Regeneration ist abhängig von …,… der Intensität.,1
91,Bitte den Satz vervollständigen: Die Dauer der Regeneration ist abhängig von …,… der Bewegungsamplitude.,1
91,Bitte den Satz vervollständigen: Die Dauer der Regeneration ist abhängig von …,… des Geschlechts.,0
92,Welche Muskelgruppen benötigen die längsten Regenerationszeiten?,Bauch und Waden,0
92,Welche Muskelgruppen benötigen die längsten Regenerationszeiten?,Arme und Schultern,0
92,Welche Muskelgruppen benötigen die längsten Regenerationszeiten?,Rücken und Oberschenkel,1
